time,user_id,channel_capacity,allocated_bitrate,enforced_bitrate,allocated_resources,max_rate,min_rate,tokens,bucket_capacity,was_throttled
10,0,7805.84,8000,8000,16,9600.0,8000,30400000.0,38400000.0,0
10,1,4380.97,4000,4000,10,6000.0,4000,20000000.0,24000000.0,0
10,2,1852.76,4000,4000,33,6000.0,4000,20000000.0,24000000.0,0
10,3,8722.01,4000,4000,5,6000.0,4000,20000000.0,24000000.0,0
10,4,3287.76,2000,2000,7,3000.0,2000,10000000.0,12000000.0,0
10,5,1000.0,1000,1000,10,1500.0,1000,5000000.0,6000000.0,0
10,6,8002.9,4000,4000,5,6000.0,4000,20000000.0,24000000.0,0
10,7,4201.22,2000,2000,5,3000.0,2000,10000000.0,12000000.0,0
11,0,7879.87,8000,8000,16,9600.0,8000,30400000.0,38400000.0,0
11,1,4446.23,4000,4000,9,6000.0,4000,20000000.0,24000000.0,0
11,2,1853.53,4000,4000,33,6000.0,4000,20000000.0,24000000.0,0
11,3,8663.37,4000,4000,5,6000.0,4000,20000000.0,24000000.0,0
11,4,2933.92,2000,2000,7,3000.0,2000,10000000.0,12000000.0,0
11,5,1000.0,1000,1000,10,1500.0,1000,5000000.0,6000000.0,0
11,6,7917.23,4000,4000,6,6000.0,4000,20000000.0,24000000.0,0
11,7,4000.65,4000,4000,10,6000.0,4000,14000000.0,24000000.0,0
12,0,7839.55,8000,8000,16,9600.0,8000,30400000.0,38400000.0,0
12,1,4547.24,4000,4000,9,6000.0,4000,20000000.0,24000000.0,0
12,2,2136.46,4000,4000,29,6000.0,4000,20000000.0,24000000.0,0
12,3,8707.01,4000,4000,5,6000.0,4000,20000000.0,24000000.0,0
12,4,2998.31,2000,2000,7,3000.0,2000,10000000.0,12000000.0,0
12,5,1000.0,1000,1000,10,1500.0,1000,5000000.0,6000000.0,0
12,6,7437.53,4000,4000,6,6000.0,4000,20000000.0,24000000.0,0
12,7,3994.02,4000,4000,16,6000.0,4000,16000000.0,24000000.0,0
13,0,7854.61,8000,8000,16,9600.0,8000,30400000.0,38400000.0,0
13,1,5163.05,8000,8000,24,9600.0,8000,21600000.0,38400000.0,0
13,2,2107.6,2000,2000,10,3000.0,2000,10000000.0,12000000.0,0
13,3,8782.4,4000,4000,5,6000.0,4000,20000000.0,24000000.0,0
13,4,2989.63,2000,2000,7,3000.0,2000,10000000.0,12000000.0,0
13,5,1000.0,1000,1000,10,1500.0,1000,5000000.0,6000000.0,0
13,6,7723.24,8000,8000,16,9600.0,8000,21600000.0,38400000.0,0
13,7,4182.0,4000,4000,10,6000.0,4000,18000000.0,24000000.0,0
14,0,8052.37,4000,4000,5,6000.0,4000,20000000.0,24000000.0,0
14,1,4935.71,8000,8000,25,9600.0,8000,23200000.0,38400000.0,0
14,2,2318.02,2000,2000,9,3000.0,2000,10000000.0,12000000.0,0
14,3,8431.93,4000,4000,5,6000.0,4000,20000000.0,24000000.0,0
14,4,3136.34,4000,4000,20,6000.0,4000,14000000.0,24000000.0,0
14,5,1328.57,1000,1000,8,1500.0,1000,5000000.0,6000000.0,0
14,6,7475.61,8000,8000,17,9600.0,8000,23200000.0,38400000.0,0
14,7,4040.43,4000,4000,10,6000.0,4000,20000000.0,24000000.0,0
15,0,8077.28,4000,4000,5,6000.0,4000,20000000.0,24000000.0,0
15,1,4809.84,8000,8000,25,9600.0,8000,24800000.0,38400000.0,0
15,2,2085.42,2000,2000,10,3000.0,2000,10000000.0,12000000.0,0
15,3,8449.07,4000,4000,5,6000.0,4000,20000000.0,24000000.0,0
15,4,2870.77,4000,4000,21,6000.0,4000,16000000.0,24000000.0,0
15,5,1399.61,500,500,4,750.0,500,2500000.0,3000000.0,0
15,6,7245.75,8000,8000,17,9600.0,8000,24800000.0,38400000.0,0
15,7,4427.91,4000,4000,10,6000.0,4000,20000000.0,24000000.0,0
16,0,7881.47,4000,4000,6,6000.0,4000,20000000.0,24000000.0,0
16,1,4729.32,8000,8000,26,9600.0,8000,26400000.0,38400000.0,0
16,2,2207.45,2000,2000,10,3000.0,2000,10000000.0,12000000.0,0
16,3,8141.36,4000,4000,5,6000.0,4000,20000000.0,24000000.0,0
16,4,2927.63,4000,4000,21,6000.0,4000,18000000.0,24000000.0,0
16,5,1595.68,500,500,4,750.0,500,2500000.0,3000000.0,0
16,6,6843.88,8000,8000,18,9600.0,8000,26400000.0,38400000.0,0
16,7,4474.07,4000,4000,9,6000.0,4000,20000000.0,24000000.0,0
17,0,7946.44,4000,4000,6,6000.0,4000,20000000.0,24000000.0,0
17,1,4924.78,8000,8000,25,9600.0,8000,28000000.0,38400000.0,0
17,2,2021.91,2000,2000,10,3000.0,2000,10000000.0,12000000.0,0
17,3,7811.24,4000,4000,6,6000.0,4000,20000000.0,24000000.0,0
17,4,3058.12,4000,4000,20,6000.0,4000,20000000.0,24000000.0,0
17,5,1640.23,500,500,4,750.0,500,2500000.0,3000000.0,0
17,6,6906.5,8000,8000,18,9600.0,8000,28000000.0,38400000.0,0
17,7,4560.68,4000,4000,9,6000.0,4000,20000000.0,24000000.0,0
18,0,7776.43,4000,4000,6,6000.0,4000,20000000.0,24000000.0,0
18,1,4982.84,8000,8000,25,9600.0,8000,29600000.0,38400000.0,0
18,2,2065.87,2000,2000,10,3000.0,2000,10000000.0,12000000.0,0
18,3,7632.66,4000,4000,6,6000.0,4000,20000000.0,24000000.0,0
